Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
2018-04-05 00:00:00,What are the common side effects of Aspirin?,Bleeding and ulceration,Cardiology,,,Yes
2018-04-05 00:00:00,What are the common side effects of iron supplements?,Black stools,Hematology,,,Yes
2018-04-05 00:00:00,What are the common side effects of opioids?,Constipation,Oncology,,,Yes
2018-04-05 00:00:00,What are the common side effects of isoniazid?,Pyridoxine deficiency,Infectious Diseases,,,Yes
2018-04-05 00:00:00,What are the common side effects of non-selective beta blockers?,Bronchospasm,Cardiology,,,Yes
2018-04-05 00:00:00,What are the common side effects of methimazole?,Agranulocytosis,Endocrinology,,,Yes
2018-04-05 00:00:00,What are the common side effects of Rifampicin?,Red orange urine,Infectious Diseases,,,Yes
2018-04-05 00:00:00,What are the common side effects of cyclophosphamide?,Hemorrhagic cystitis ,Rheumatology,,,Yes
2018-04-05 00:00:00,What are the common side effects of digoxin?,Gynecomastia ,Cardiology,,,Yes
2018-04-05 00:00:00,What are the common side effects of Amlodipine?,Peripheral edema ,Cardiology,,,Yes
2018-04-05 00:00:00,What are the common side effects of inhaled budesonide?,Respiratory infection,Pulmonology,,,Yes
2018-04-05 00:00:00,What are the common side effects of Methotrexate?,Ulcerative stomatitis and hepatotoxicity ,Oncology,,,Yes
2018-04-07 00:00:00,What are the medicines that are thought to be unsafe in individuals with G6PD deficiency?,"Primaquine, Chloroquine, Dapsone, Nitrofurantoin, Sulphoamides and Glibenclamide.  ",Hematology,,,Yes
2018-05-18 00:00:00,What are the steps of determining the presence of BBB?,"Step 1: Refer to lead V1
Step 2: Look for evidence that the electrical activity started above the ventricles (P wave). 
Step 3: QRS complex measures 0.12 seconds or greater (not including aberrant complexes i.e. PVCs)
Step 4: Analyze the terminal portion of the QRS complex. (down is left, up is right)",Cardiology,,,
2018-05-22 00:00:00,What is the pathogenesis of sickle cell anemia?,"In sickle cell anaemia, valine replaces glutamic acid at the sixth amino acid of the beta globin chain, as a result of a recessive single gene mutation.",Hematology,,,
2018-05-22 00:00:00,What is sickle beta-thalassemia?,"Sickle beta-thalassaemia occurs when a child inherits a sickle gene from one parent and a beta-thalassaemia gene from the other parent. In patients with sickle beta-thalassaemia, a mutation of the beta gene blocks production of the normal beta globin chain (beta 0) or reduces its production (beta +).",Hematology,,,
2018-05-22 00:00:00,What is sickle cell trait?,Sickle cell trait occurs when a child inherits a sickle gene from one parent and a normal gene from the other parent.,Hematology,,,
2018-05-22 00:00:00,What is hemoglobin SC disease?,Haemoglobin SC disease occurs when a child inherits a sickle gene from one parent and haemoglobin C mutation from the other parent. The haemoglobin C mutation is a lysine for glutamic acid at the 6th position of the beta globin chain. Those with haemoglobin SC disease make no haemoglobin A.,Hematology,,,
2018-05-22 00:00:00,What are the precipitating factors for vaso-occlusive episodes in SCA?,"The known precipitants include hypoxia, acidosis, dehydration, cold temperatures, extreme exercise, stress, and infections. ",Hematology,,,
2018-05-22 00:00:00,What are the causes of the variation of SCA between patients? ,Many of the reasons for this variation are not clear; it is known that persistently elevated levels of fetal haemoglobin (HgF) and co-inheritance of alpha thalassaemia can minimise the clinical severity of the disease. Some people may remain totally asymptomatic into late childhood or are only incidentally diagnosed.,Hematology,,,
2018-05-22 00:00:00,What is the most common presenting complication of SCA?,The most common presenting complication is dactylitis.,Hematology,,,
2018-05-22 00:00:00,What is the organ of origin of vaso-occlusive crises? ,"The presentation of a skeletal vaso-occlusive crisis depends on the age of the patient, because the events are thought to originate in bone marrow. In children, red marrow is present in all bones, including small bones of the hand, which is consistent with the clinical findings of dactylitis. In older children, marrow is most commonly found in the epiphyses, and in adults it is limited to axial skeletal bones - for instance, spine, pelvis, skull, and the most proximal portions of the femur and humerus. ",Hematology,,,
2018-05-22 00:00:00,What are the difference in electrophoresis between SCA and sickle cell trait? ,"In sickle cell anaemia: 75% to 95% HbS and HbA is notably absent. 
In sickle cell trait: 40% HbS and 60% HbA.",Hematology,,,
2018-05-22 00:00:00,What are the benefits of hydroxyurea in SCA? ,"It reduces the frequency of painful crises and the need for blood transfusions in patients with recurrent painful crises. 
Long-term observational follow-up studies of adult patients found that patients taking hydroxycarbamide appeared to have reduced mortality after long-term exposure.  Neither of these observational studies showed an increased incidence of malignancy in those who were on hydroxycarbamide.",Hematology,,,
2018-05-22 00:00:00,What are the contraindication o hydroxyurea in SCA? ,"It is contraindicated if the patient has hypersensitivity to hydroxycarbamide or marked bone marrow suppression (i.e., leukopenia, thrombocytopenia).",Hematology,,,
2018-05-22 00:00:00,What are the doses of hydroxyurea in children and adults with SCA?,"10-20 mg/kg orally once daily initially, increase by 5 mg/kg/day increments every 12 weeks according to blood test results, maintaining neutrophil count >2500/mm^3 and platelet count >95,000/mm^3, maximum 35 mg/kg/day.",Hematology,,,
2018-05-22 00:00:00,What is the role of repeated blood transfusions in SCD patients? ,"In patients due to undergo any form of surgery, perioperative transfusion is often needed to prevent postoperative sickle cell complications. Transfusions designed to keep haemoglobin at 10 g/dL were found to be as effective as, and possibly safer than, exchange transfusions in these situations.
Patients with HbSC disease undergoing major surgery often require exchange transfusions prior to surgery, due to baseline haemoglobin levels that are already greater than 10 g/dL and the need to avoid hyperviscosity in the blood.",Hematology,,,
2018-05-22 00:00:00,What is the most common inherited cause of intellectual disability?,Fragile X syndrome,Pediatrics,,,
2018-05-22 00:00:00,What is the pathogenesis of fragile X syndrome?,"FXS is an X-linked disorder. It is caused by a loss-of-function mutation in the fragile X mental retardation 1 (FMR1) gene due to an unstable expansion of a trinucleotide (cytosine-guanine-guanine, CGG).",Pediatrics,,,
2018-05-22 00:00:00,What are the classic physical manifestations of fragile X syndrome? ,"The classic physical manifestations are more obvious in adolescents:
1. Lony and narrow face with prominent forehead and chin (prognathism).
2. Large ears.
3. Testicular enlargement (volume >25 mL after puberty) with normal testicular function. Testicular enlargement is not seen in boys under eight years of age",Pediatrics,,,
2018-05-23 00:00:00,What is the median age of death in SCA? ,Without the only potentially curative treatment - bone marrow transplantation - median age at death is 42 years for men and 48 years for women in patients with sickle cell anaemia (SS).,Hematology,,,
2018-05-23 00:00:00,What are the medications that can be use for iron overload treatment in SCA?,"Treatment of iron overload can be done with either desferoxamine, deferiprone, or deferasirox. Deferasirox has been shown to be as effective as desferoxamine. As it is an oral rather than a parenteral medication, it may lead to better adherence to treatment.",Hematology,,,
2018-05-23 00:00:00,What is the duration for priapism that is considered emergency?,"Episodes lasting 4 hours or more are considered medical emergencies, and urological evaluation is indicated. Analgesia, hydration, and local measures (urological aspiration, decompression) are the mainstays of therapy.",Hematology,,,
2018-05-23 00:00:00,What is the indication of splenectomy in SCA? ,Splenectomy is recommended in children above 2 years of age with recurrent splenic sequestration because of the danger of recurrent crises.,Hematology,,,
2018-05-23 00:00:00,What are the recommended vaccinations in patients with splenectomy? ,"Patients who have had surgical or autosplenectomy should be vaccinated with influenza, pneumococcal, and meningococcal vaccines.",Hematology,,,
2018-05-23 00:00:00,What is the pathogenesis of pulmonary hypertension in SCA? ,"Long-standing intravascular haemolytic anaemia results in a relative deficiency of nitrous oxide (NO). The relative NO deficiency causes pulmonary vasoconstriction, endothelial dysfunction, pulmonary hypertension, and potential thrombosis.",Hematology,,,
2018-05-23 00:00:00,What is the most common cause of transient aplasia in SCA? ,"Transient cessation of red cell production, often triggered by a viral infection, is characterized by pallor, tachypnoea, and tachycardia without splenomegaly. It is most commonly associated with parvovirus infection. Reticulocyte counts are usually <1%. Treated with red blood cell transfusions.",Hematology,,,
2018-05-23 00:00:00,What are the specific screening recommendations for SCA?,"Transcranial Doppler (TCD) screening of children with HbSS is recommended, starting at 2 years of age and continued annually.
Screening for retinopathy with a dilated eye examination beginning at age 10 years. 
Patients require annual screenings for the presence of increased urinary albumin excretion. Annual liver and renal function assessments are also recommended.
Note, in patients with sickle cell disease, creatinine is a poor measure of renal dysfunction.",Hematology,,,
2018-05-23 00:00:00,What are the contraceptive methods that are preferable in SCA?,"The World Health Organization (WHO) recommendations for the use of alternative methods of contraception stem from concerns that combined hormonal contraceptives may increase the risk of thromboembolic disease and therefore are not recommended.
 
Progesterone-only contraceptives have no restrictions as they are not associated with an increased risk of thrombosis.
 Copper and levonorgestrel intrauterine devices (IUDs) have no restriction for use in SCD.",Hematology,,,
2018-05-23 00:00:00,What are the recommended vaccinations in patient with SCD?,"The conjugated pneumococcal vaccine is recommended for children under the age of 2 years.
23-valent pneumococcal polysaccharides vaccine is recommended after the age of 2 years.
Annual influenza vaccination is indicated, along with re-vaccination for pneumococcus every 5 years for adults.",Hematology,,,
2018-05-23 00:00:00,What is the role of prophylactic penicillin in SCD?,"Antibiotic prophylaxis of pneumococcal infection is given from the time of diagnosis until 5 years of age.
Prophylactic penicillin significantly reduces the risk of pneumococcal infection.",Hematology,,,
2018-05-23 00:00:00,What are the analgesics for painful sickle cell crisis? ,"Primary option: Paracetamol 
Secondary options: NSAIDs (Ibuprofen, Naproxen or Ketorolac) 
Tertiary options (only in adults): Opioids (Codeine, Oxycodone, or Morphine)",Hematology,,,
2018-05-23 00:00:00,What are the risks of blood transfusions in SCA? ,"Risks include over-transfusion (hyperviscosity, volume overload), transfusion reactions (acute, septic, febrile, and allergic), alloimmunization to red cell antigens, iron overload, and transfusion-transmitted diseases (hepatitis B and C, HIV, and other microbiological agents).",Hematology,,,
2018-05-23 00:00:00,What is the general approach in managing SCA painful crises? ,"1st line: analgesia, hydration, oxygen and correction of the cause 
Adjuvant: antibiotics or blood transfusions",Hematology,,,
2018-05-30 00:00:00,What is the G6PD variant that affects people from European and Arabic countries around the Mediterranean (or their descendants)?, G6PD Mediterranean is a class II variant.,Hematology,,,
2018-05-30 00:00:00,What is the pathophysiology of G6PD deficiency?,"G6PD is required by all cells to protect them from damage by oxidation. It catalyses the first step in the pentose phosphate pathway, whereby glucose-6-phosphate is oxidised to 6-phosphogluconate. This reaction is linked to the reduction of NADP (nicotinamide adenosine phosphate) to NADPH (nicotinamide adenosine dinucleotide phosphate), which is used to generate reduced glutathione.",Hematology,,,
2018-05-30 00:00:00,Why are RBCs the most affected cells in G6PD deficiency?,"Cells in other tissues and organs have alternate pathways for the generation of NADPH and can thus withstand such oxidative stress. In contrast, red cells are metabolically extremely simple; they lack a nucleus and mitochondria, cannot carry out protein synthesis, and exclusively metabolise glucose for ATP production. The activity of all red cell enzymes, including G6PD, is highest in young red cells (reticulocytes), and progressively declines as the cell ages.",Hematology,,,
2018-05-30 00:00:00,What is the type of hemolysis in G6PD deficiency? ,Favism (following exposure to broad beans) and drug-induced haemolysis are usually both intravascular and extravascular.,Hematology,,,
2018-05-30 00:00:00,What are the characteristic changes of G6PD deficiency in peripheral smears? ,Peripheral smear: shows characteristic changes of anisocytosis with 'bite' cells. Heinz bodies (fragments of denatured haemoglobin) are seen in acute haemolysis. ,Hematology,,,
2018-05-30 00:00:00,What is the cause of acute renal failure in patients with G6PD deficiency in hemolysis?,Haemoglobinuria due to intravascular haemolysis,Hematology,,,
2018-05-30 00:00:00,What are the specific tests for G6PD deficiency?,"1. Fluorescent spot test (to screen)
2. Spectrophotometry (to quantify)
3. PCR (to determine the variant)",Hematology,,,
2018-05-30 00:00:00,Why might G6PD activity be normal during the acute hemolysis? ,"Reticulocytes have a higher activity than mature red cells and, in the immediate aftermath of a haemolytic episode, the reticulocytosis can elevate the measured activity level to within the normal range.",Hematology,,,
2018-05-30 00:00:00,What are the precipitating events of acute hemolysis in G6PD deficiency? ,"Ingesting an implicated oxidative drug or foodstuff (e.g., broad beans) and infections
+ neonatal jaundice ",Hematology,,,
2018-05-30 00:00:00,What are the recommendations about vitamins supplementation in patient with G6PD deficiency?,Long-term folic acid supplementation (5 mg orally once daily) is recommended. Vitamin E and selenium supplementation is probably of no benefit in reducing the rate of haemolysis.,Hematology,,,
2018-05-31 00:00:00,What are the most common congenital heart defects in infants and children?,VSDs (3.5 infants per 1000 live births),Cardiology,,,
2018-05-31 00:00:00,What are the most common types of VSDs?,Type 2 (peri-memranous) defects (70%) and type 4 (muscular) defects (20%),Cardiology,,,
2018-05-31 00:00:00,What is the percentage of Down's syndrome patients who have congenital cardiovascular malformations? ,0.5,Cardiology,,,
2018-05-31 00:00:00,What are the factors that determine the hemodynamic effects of a VSD?,"The size of the defect and the pumonary vascular resistance 
A small defect with Qp:Qs ratio of less than 1.5 has a high liklihood of spontaneous closure by age 1 to 2 years if found in infants. 
In larger defects with Qp:Qs ratio of more than 2.5, significant pumonary hypertension occurs to the point that the shunt reserves (Eisenmenger's syndrome). ",Cardiology,,,
2018-05-31 00:00:00,What is the type of VSDs that is typically occurs in patients with Down's syndrome? ,"Type 3 (it is also called peri-inlet defect, endocardial cushion defect, or AV septal defect).",Cardiology,,,
2018-05-31 00:00:00,When does a VSD secondary to MI present?,3-5 days after the initial MI,Cardiology,,,
2018-06-01 00:00:00,What are the signs of VSDs on physical examination? ,"A holosystolic murmur can be heard at the lower left parasternal border. It does not increase with inspiration (unlike tricuspid regurgitation). This may be accompanied by a palpable thrill. The pulmonic component of the second heart sound may be loud due to pulmonary hypertension. 

There may be signs of cardiomegaly, including displacement of the apical impulse downward and laterally on the praecordium and, in case of right ventricular hypertrophy, a parasternal heave. ",Cardiology,,,
2018-06-01 00:00:00,What are the signs of shunt reversal in VSDs?,"Shunt reversal should be suspected if there is evidence of cyanosis, which is sometimes accompanied by clubbing of the nails.
Recurrent pulmonary infections may also be attributable to shunt reversal in patients with large un-operated defects.",Cardiology,,,
2018-06-01 00:00:00,What are the roles of right heart catheterization in VSDs? ,"This is usually not needed, and is reserved for cases in which confirmation of shunt estimation is required.
1.  An oximetric run on cardiac catheterisation will demonstrate a 'step-up' in oxygen saturations in the right ventricle.
2. Pulmonary arterial pressures can be measured to provide an index of pulmonary vascular resistance. 
This information is useful to assess suitability for surgical correction.",Cardiology,,,
2018-06-01 00:00:00,What are the risk factors for VSDs? ,"Risk factors include a family history of congenital heart defects, the presence of Down's syndrome, and maternal use of alcohol during pregnancy.",Cardiology,,,
2018-06-01 00:00:00,What is the single most important and useful test in the diagnosis and follow-up of patients with VSDs?,Echocardiography,Cardiology,,,
2018-06-01 00:00:00,What are the prophylactic antibiotics that can be used to prevent infective endocarditis? ,Amoxicillin or Clindamycin (in patients with penicillin allergy) one hour before the procedure,Cardiology,,,
2018-06-01 00:00:00,What are the indications for prophylactic antibiotics in VSDs? ,"Antibiotic prophylaxis is no longer recommended in all patients with VSD, but is reserved for especially high-risk groups: patients with Eisenmenger's syndrome; patients with a previous history of infective endocarditis; patients within 6 months following patch repair or percutaneous device closure of VSD; or patients with a residual defect following closure.",Cardiology,,,
2018-06-01 00:00:00,What are the indications for corrective closure of VSDs?,"A corrective closure is indicated in medium and large defects when Qp to Qs shunt ratio is >1.5, PA systolic pressure >50 mmHg, increased LV and left atrial size, or deteriorating LV systolic function.
The development of endocarditis as a complication is an indication for corrective closure of the VSD regardless of its size.",Cardiology,,,
2018-06-01 00:00:00,What is the management approach in Eisenmenger's syndrome?,"1st line: the endothelin antagonist bosentan, or the phosphodiesterase-5 inhibitor sildenafil (only in adults)
2nd line:  heart-lung transplant ",Cardiology,,,
2018-06-01 00:00:00,What are the complications of the surgical management of VSDs? ,Heart block and postoperative dysrhythmias,Cardiology,,,
2018-06-01 00:00:00,What is the most common type of esophageal hernias? ,90% of esophageal hernias are sliding. ,General Surgery,,,
2018-06-01 00:00:00,What is the most common complication of esophageal hernias? ,The most common complication is GERD.,General Surgery,,,
2018-06-01 00:00:00,What is the surgical option for esophageal hernias? ,The surgical option is performing an anti-reflux procedure (usually laparoscopic) e.g. Nissen fundoplication.,General Surgery,,,
2018-06-01 00:00:00,What are the complications of paraoesophageal hiatal hernias?,"The complications of paraoesophageal hiatus hernia are strangulation (gastric volvulus), obstruction, gastric stasis ulcer, Cameron lesions and IDA. ",General Surgery,,,
2018-06-01 00:00:00,What are the causes of esophageal perforation? ,"The most common etiology for esophageal perforation is iatrogenic.
Trauma, repeated forceful vomiting (Boerhaave’s syndrome), ingestion of foreign body and carcinoma are the other causes. ",General Surgery,,,
2018-06-01 00:00:00,What is the management approach with esophageal perforation? ,"Primary closure is used if the esophagus is healthy (<24 hr). 
Otherwise, we should use diversion and exclusion followed by delayed reconstruction.",General Surgery,,,
2018-06-01 00:00:00,"What is ""kissing ulcer""?",Kissing ulcer is a pair of ulcer with anterior perforation and posterior bleeding (form the gastroduodenal artery). ,General Surgery,,,
2018-06-01 00:00:00,What is the difference between Billroth I and Billroth II?,Billroth I is distal gastrectomy with gastroduodenostomy. Billroth II I is distal gastrectomy with gastrojejunostomy. ,General Surgery,,,
2018-06-01 00:00:00,What is the surgical technique that is used to close duodenal perforations?,A Graham patch is a surgical technique that is used to close duodenal perforations. A piece of omentum is used to cover the perforation. ,General Surgery,,,
2018-06-01 00:00:00,What is succession splash? ,Succession splash (splashing noise heard with stethoscope over the stomach when patient is shaken) is a sign of gastric outlet obstruction.,General Surgery,,,
2018-06-01 00:00:00,What are the causes of Dumping syndrome? ,Dumping syndrome is early (fluid accumulation and jejunal distention) and late (large insulin release and hypoglycemia) symptoms.,General Surgery,,,
2018-06-01 00:00:00,What are the most common types of abdominal hernias? ,"The frequency of occurrence of abdominal hernia: 50% indirect inguinal, 25% direct inguinal, 8-10% incisional (ventral), 5% femoral, and 3-8% umbilical. ",General Surgery,,,
2018-06-01 00:00:00,What is Richter's hernia? ,A Richter's hernia occurs when the antimesenteric wall of the intestine protrudes through a defect in the abdominal wall. ,General Surgery,,,
2018-06-01 00:00:00,What is pantaloon hernia?,"A pantaloon hernia is defined as ipsilateral, concurrent direct and indirect inguinal hernias. ",General Surgery,,,
2018-06-01 00:00:00,What are the symptoms of ilioinguinal nerve entrapment? ,Ilioinguinal nerve entrapment causes numbness of inner thigh or lateral scrotum. ,General Surgery,,,
2018-06-01 00:00:00,What is the nerve that supplies the cremaster muscle? ,"The genital branch of the genitofemoral nerve, also known as the external spermatic nerve in males, supplies the cremaster muscle. ",General Surgery,,,
2018-06-01 00:00:00,What is the most common type of hernia in women? ,Indirect inguinal hernia,General Surgery,,,
2018-06-01 00:00:00,What is the anatomical site of the direct inguinal hernia? ,Direct inguinal hernia descends through Hesselbach’s triangle medial to inferior epigastric artery and usually does not descend into the scrotal sac. ,General Surgery,,,
2018-06-01 00:00:00,What are the most common causes of SBO? ,"Adhesions, Bulge (hernias), and Cancer (neoplasms) are the most common causes of SBO. ",General Surgery,,,
2018-06-01 00:00:00,What are the most common causes of LBO?,"Cancer, Diverticulitis, and Volvulus are the most common causes of LBO. ",General Surgery,,,
2018-06-01 00:00:00,What is Ogilvie's syndrome? ,Ogilvie’s syndrome is an acute pseudo-obstruction and distention of colon without mechanical obstruction in distal colon. It arises in bedridden patients with serious extraintestinal illness or trauma.,General Surgery,,,
2018-06-01 00:00:00,What is the hallmark of intestinal ischemia? ,Pain “out of keeping with physical findings” is the hallmark of early intestinal ischemia. An acute abdomen with metabolic acidosis is bowel ischemia until proven otherwise. ,General Surgery,,,
2018-06-01 00:00:00,What is the most common site of the appendix? ,"The most common sites of appendix are retrocecal (psoas sign, pain on flexion of hip against resistance or passive hyperextension of hip) and pelvic (obturator sign, flexion then external or internal rotation about right hip causes pain). ",General Surgery,,,
2018-06-01 00:00:00,What is the etiology of appendicitis in children? ,"The etiology of appendicitis in children or young adult is hyperplasia of lymphoid follicles, initiated by infection. ",General Surgery,,,
2018-06-01 00:00:00,What is the radiological sign of ulcerative colitis? ,"""Lead-pipe appearance"" is a sign of ulcerative colitis. ",General Surgery,,,
2018-06-01 00:00:00,What is the operation of choice for ulcerative colitis? ,Proctocolectomy and ileal pouch-anal anastomosis is the operation of choice for ulcerative colitis. Total proctocolectomy will completely eliminate risk of cancer.,General Surgery,,,
2018-06-01 00:00:00,What is the leading cause of death in patient with ulcerative colitis?,Perforation of the colon is the leading cause of death from ulcerative colitis. ,General Surgery,,,
2018-06-01 00:00:00,What is the most common sites of volvulus? ,The most common sites for volvulus are sigmoid and cecum. ,General Surgery,,,
2018-06-01 00:00:00,What are the radiological signs of volvulus? ,The signs include omega or coffee-bean in AXR and ace of spades or bird’s beak in enema. ,General Surgery,,,
2018-06-01 00:00:00,What is the most common location of anal fissures? ,90% of anal fissures are in tne posterior midline. ,General Surgery,,,
2018-06-01 00:00:00,What is the triad of chronicity of anal fissures? ,"The triad of chronicity: fissure, sentinel skin tags, hypertrophied papillae. ",General Surgery,,,
2018-06-01 00:00:00,What is the most common intra-abdominal organ injury in blunt trauma? ,The most common intra-abdominal organ injury in blunt trauma is the spleen. ,General Surgery,,,
2018-06-03 00:00:00,What is the percentage of gastric bypass patients who develop gallstones within 6 months after surgery? ,"Cholelithiasis develops in as many as 40 percent of patients within six months of surgery, and up to 40 percent of such patients become symptomatic. 
Rapid weight loss can contribute to the development of gallstones by increasing the lithogenicity of bile.",General Surgery,,,
2018-06-03 00:00:00,What are the preventative measures against gallstone diseases in gastric bypass patients?,"1. The high frequency of cholelithiasis can be reduced to as low as 2 percent with a six-month course of ursodeoxycholic acid (UDCA; ursodiol, a synthetic bile salt) given prophylactically after weight-loss surgery.
2. The decision to perform a cholecystectomy at the time of bypass is controversial. Some surgeons recommend performing cholecystectomy at the time of bypass if a patient has symptomatic gallstones preoperatively.",General Surgery,,,
2018-06-03 00:00:00,What are the differences in gallstone diseases between gastric sleeve and gastric bypass? ,"The incidence of symptomatic gallstone disease developing after LSG is lower than that after gastric bypass. Additionally, biliary diseases such as choledocholithiasis are also easier to treat after LSG than after gastric bypass because LSG maintains normal duodenal anatomy, which permits per oral endoscopic retrograde cholangiopancreatography (ERCP).",General Surgery,,,
2018-06-03 00:00:00,What are the factors that affect the occurrence of gallstones of weight loss surgeries?," Bariatric surgery causes rapid weight loss and multiple physiologic factors (e.g., possible  reduced cholecystokinin secretion) actively affect the occurrence of gallstones. Hyper saturation of bile with cholesterol, raised mucin production and hypomotility of gallbladder contribute to gallstone formation.",General Surgery,,,
2018-06-03 00:00:00,What is the most common cause of non-traumatic limb amputation?,"Diabetes is the most common cause of non-traumatic limb amputation, with foot ulcers preceding more than 80% of amputations.",General Surgery,,,
2018-06-03 00:00:00,What are  the percentage of diabetic patients with peripheral neuropathy and arterial disease?,The prevalence of sensory neuropathy in diabetic populations is between 40% and 60% and the incidence of PAD in the general diabetic population is up to 30%.,General Surgery,,,
2018-06-03 00:00:00,What are pathological factors that are involved in diabetic foot ulcers? ,"Various factors increase the risk of developing a diabetic foot ulcer. These factors fall into 3 main categories:
1. Abnormal distribution of plantar pressures due to structural/biomechanical abnormalities (e.g., bunions, hammer or mallet toes, Charcot's mid-foot deformities), impaired joint mobility, gait abnormalities, and motor neuropathies
2. Impaired protective mechanisms (e.g., dry skin, immune system abnormalities, peripheral artery disease)
3. Impaired recognition due to sensory neuropathy and/or visual impairments.",General Surgery,,,
2018-06-03 00:00:00,What are the macrovascular and microvascular effects of DM? ,"The injurious effects of hyperglycemia are separated into macrovascular complications (coronary artery disease, peripheral arterial disease, and stroke) and microvascular complications (diabetic nephropathy, neuropathy, and retinopathy).",General Surgery,,,
2018-06-03 00:00:00,Who are at risk of diabetic foot ulcers? ,"The patient at risk is a patient with diabetes who does not have an active foot ulcer but who has peripheral neuropathy, with or without the presence of foot deformity or peripheral artery disease, or a history of foot ulcer(s) or amputation of (or part of) the foot or leg.

In general, patients without any of these risk factors do not appear to be at risk for ulceration.",General Surgery,,,
2018-06-03 00:00:00,What is the most accessible modality for evaluating arterial blood flow to the foot?,"Pulse examination 
The ability to palpate normal pedal pulses indicates adequate arterial perfusion to the foot. Absent or weak pulses should prompt referral for evaluation and non-invasive testing in a vascular specialty clinic.
Augmenting the examination with a handheld continuous-wave Doppler probe provides additional information; however, while monophasic signals do suggest significant peripheral artery disease, biphasic signals do not exclude significant peripheral artery disease.",General Surgery,,,
2018-06-03 00:00:00,What is the best test for diagnosing peripheral artery disease?,Angiography,General Surgery,,,
2018-06-03 00:00:00,What are the initial investigations to be order for patients with diabetic foot ulcers?,"CBC, RBG and ABI 
+ Foot X-ray (to screen for osteomyelitis, fractures, joint stability, and other deformities)
+ RFT (to determine the feasibility of giving iodinated contrast for arterial imaging)",General Surgery,,,
2018-06-03 00:00:00,What is the best imaging test for the diagnosis of osteomyelitis?,MRI ,General Surgery,,,
2018-06-03 00:00:00,How often should you screen diabetic patients for foot complications?,"It is recommended to screen: 
1. At time of diagnosis of diabetes, and then at least annually
2. When any foot problems arise
3. On any admission to hospital, and if there is any change in the patient’s status in hospital.",General Surgery,,,
2018-06-03 00:00:00,When should a monofilament test be considered positive? ,"Monofilament testing for sensory neuropathy should be done once yearly in all patients with diabetes. The test is considered positive (i.e., insensate or lack of protective sensation) if monofilament is not detected in any of the 4 tested areas in the forefoot.",General Surgery,,,
2018-06-03 00:00:00,What is the management approach of diabetic foot ulcers? ,"1st: wound care, offloading footwear, and dietary advice and supplementations
Plus: antibiotics (in cases of foot infections) or hospital admission (if the infection is moderate or severe)
2nd: surgical bypass or endovascular intervention, or amputation",General Surgery,,,
2018-06-03 00:00:00,What are the signs of the systemic inflammatory response syndrome?,"Temperature >38°C [100.5°F]; heart rate >90 bpm; respiratory rate >20 breaths/minute or PaCO2 <32 mmHg; white blood cell count >12x10^9/litre or <4x10^9/litre, or 10% immature (band) forms",General Surgery,,,
2018-06-03 00:00:00,What are ten antibiotic options for diabetic foot infections?,"1st:  Ciprofloxacin and Clindamycin or Trimethoprim/Sulfamethoxazole 
2nd: Vancomycin and imipenem/cilastatin",Infectious Diseases,,,
2018-06-03 00:00:00,What is Cilastatin?,Cilastatin is a chemical compound which inhibits the human enzyme dehydropeptidase. Dehydropeptidase is an enzyme found in the kidney and is responsible for degrading the antibiotic imipenem.,Infectious Diseases,,,
2018-06-08 00:00:00,What are the factors that appear to be protective against ulcerative colitis? ,"Smoking may prevent UC, and appendectomy appears to be protective. ",Gastroenterology,,,
2018-06-08 00:00:00,What is the age distribution of inflammatory bowel diseases? ,Bimodal ,Gastroenterology,,,
2018-06-08 00:00:00,What is the most important cytokine in the pathogenesis of inflammatory bowel disease?,The most abundant cytokine is interleukin-1.,Gastroenterology,,,
2018-06-08 00:00:00,What is the mutation that is associated with CD? ,The familial risk is greater for CD. CD is also known to be associated with CARD15\NOD2 gene mutation. ,Gastroenterology,,,
2018-06-08 00:00:00,What are the options to induction therapy in CD? ,"The approach to induction therapy in CD is done by: 5-ASA or antibiotics, corticosteroids, suppressive agents, and biologics. There is no role of steroids in maintaining remissions. ",Gastroenterology,,,
2018-06-08 00:00:00,What are the most common antibiotics that are used in CD? ,Metronidazole and ciprofloxacin are the most commonly used antibiotics in CD.,Gastroenterology,,,
2018-06-08 00:00:00,What is the role of surgery in CD management? ,"The surgical treatment for CD is reserved for complications. It is less curative than in UC, and there is a risk of developing short bowel syndrome.     ",General Surgery,,,
2018-06-08 00:00:00,What are the four presentation of IBS? ,"The disease is of four presentations: pain predominant, diarrhea predominant, constipation predominant, and mixed or IBS-M.  ",Gastroenterology,,,
2018-06-08 00:00:00,What is the most important risk factor for aortoenteric fistula? ,"Aortoenteric fistula is a rare and lethal cause of GI bleed, and it is most common in patients with a history of aortic graft surgery.",Gastroenterology,,,
2018-06-08 00:00:00,What is the hemoglobulin level that is indicative for transfusion in acute UGIB? ,"Transfusing patients with an acute upper GI bleed at hemoglobin of <7.0 g/dL rather than 9.0 g/dL is associated with fewer transfusions, better survival, and fewer adverse events.",Gastroenterology,,,
2018-06-08 00:00:00,What is the most common site of bleeding in diverticular disease? ,"Bleeding more often occurs from the right rather than the left colon, even though diverticula are more common in the left colon.",Gastroenterology,,,
